1,no classes that are public should depend on classes that are private,"Constructor <org.javacc.jjtree.JJTreeParser.<init>(java.io.InputStream, java.lang.String)> calls constructor <org.javacc.jjtree.JJTreeParser$LookaheadSuccess.<init>(org.javacc.jjtree.JJTreeParser$1)>",JJTreeParser.java,MEDIUM
2,no classes that are public should depend on classes that are private,"Constructor <org.javacc.jjtree.JJTreeParser.<init>(java.io.Reader)> calls constructor <org.javacc.jjtree.JJTreeParser$LookaheadSuccess.<init>(org.javacc.jjtree.JJTreeParser$1)>",JJTreeParser.java,MEDIUM
3,no classes that are public should depend on classes that are private,"Constructor <org.javacc.jjtree.JJTreeParser.<init>(org.javacc.jjtree.JJTreeParserTokenManager)> calls constructor <org.javacc.jjtree.JJTreeParser$LookaheadSuccess.<init>(org.javacc.jjtree.JJTreeParser$1)>",JJTreeParser.java,MEDIUM
4,no classes that are public should depend on classes that are private,"Constructor <org.javacc.parser.JavaCCParser.<init>(java.io.InputStream, java.lang.String)> calls constructor <org.javacc.parser.JavaCCParser$LookaheadSuccess.<init>(org.javacc.parser.JavaCCParser$1)>",JavaCCParser.java,MEDIUM
5,no classes that are public should depend on classes that are private,"Constructor <org.javacc.parser.JavaCCParser.<init>(java.io.Reader)> calls constructor <org.javacc.parser.JavaCCParser$LookaheadSuccess.<init>(org.javacc.parser.JavaCCParser$1)>",JavaCCParser.java,MEDIUM
6,no classes that are public should depend on classes that are private,"Constructor <org.javacc.parser.JavaCCParser.<init>(org.javacc.parser.JavaCCParserTokenManager)> calls constructor <org.javacc.parser.JavaCCParser$LookaheadSuccess.<init>(org.javacc.parser.JavaCCParser$1)>",JavaCCParser.java,MEDIUM
7,no classes that are public should depend on classes that are private,"Constructor <org.javacc.parser.OutputFile.<init>(java.io.File, java.lang.String, [Ljava.lang.String;)> calls constructor <org.javacc.parser.OutputFile$NullOutputStream.<init>(org.javacc.parser.OutputFile$1)>",OutputFile.java,MEDIUM
8,no classes that are public should depend on classes that are private,"Field <org.javacc.jjtree.JJTreeParser.jj_ls> has type <org.javacc.jjtree.JJTreeParser$LookaheadSuccess>",JJTreeParser.java,MEDIUM
9,no classes that are public should depend on classes that are private,"Field <org.javacc.parser.JavaCCParser.jj_ls> has type <org.javacc.parser.JavaCCParser$LookaheadSuccess>",JavaCCParser.java,MEDIUM
10,no classes that are public should depend on classes that are private,"Field <org.javacc.parser.OutputFile.pw> has type <org.javacc.parser.OutputFile$TrapClosePrintWriter>",OutputFile.java,MEDIUM
11,no classes that are public should depend on classes that are private,"Method <org.javacc.parser.OutputFile.close()> calls method <org.javacc.parser.OutputFile$TrapClosePrintWriter.closePrintWriter()>",OutputFile.java,MEDIUM
12,no classes that are public should depend on classes that are private,"Method <org.javacc.parser.OutputFile.close()> calls method <org.javacc.parser.OutputFile$TrapClosePrintWriter.println(java.lang.String)>",OutputFile.java,MEDIUM
13,no classes that are public should depend on classes that are private,"Method <org.javacc.parser.OutputFile.getMD5sum()> calls method <org.javacc.parser.OutputFile$TrapClosePrintWriter.flush()>",OutputFile.java,MEDIUM
14,no classes that are public should depend on classes that are private,"Method <org.javacc.parser.OutputFile.getPrintWriter()> calls constructor <org.javacc.parser.OutputFile$TrapClosePrintWriter.<init>(org.javacc.parser.OutputFile, java.io.OutputStream)>",OutputFile.java,MEDIUM
15,no classes that are public should depend on classes that are private,"Method <org.javacc.parser.OutputFile.getPrintWriter()> calls method <org.javacc.parser.OutputFile$TrapClosePrintWriter.println(java.lang.String)>",OutputFile.java,MEDIUM
16,no classes that are public should depend on classes that are private,"Method <org.javacc.parser.OutputFile.getPrintWriter()> calls method <org.javacc.parser.OutputFile$TrapClosePrintWriter.println(java.lang.String)>",OutputFile.java,MEDIUM
